Rater,Estimate,SE,Count,Infit MS,Outfit MS
2927,0.203,0.113,10,0.362,0.311
2975,0.06,0.118,10,2.393,2.213
2998,-0.637,0.171,10,0.596,0.645
3009,-3.126,0.145,20,7.953,19.763
3012,-2.301,0.214,10,18.034,23.938
3015,-3.28,0.226,10,3.117,1.979
302,1.004,0.029,10,0.781,0.721
3027,0.489,0.078,10,0.629,0.564
3033,-2.748,0.213,10,1.833,1.468
3056,-0.291,0.153,10,1.587,1.362
3075,-1.761,0.185,10,0.371,0.378
31,1.775,0.234,10,1.168,0.858
3112,-2.137,0.212,10,1.073,0.909
3113,-2.419,0.222,10,1.374,0.919
3122,-0.48,0.167,10,0.857,0.801
3133,0.536,0.065,10,1.008,1.019
315,1.673,0.305,10,19.881,25.227
3153,-0.704,0.174,10,1.166,1.242
3196,-1.051,0.179,10,0.904,0.632
32,-1.743,0.214,10,2.256,10.567
3221,1.339,0.089,10,1.737,1.421
3230,-2.628,0.216,10,1.986,2.111
3233,0.267,0.102,10,0.382,0.415
3249,-1.86,0.208,10,1.11,1.242
3264,0.949,0.026,10,0.811,0.613
3317,-0.074,0.134,10,1.627,3.381
3331,-0.295,0.152,10,1.747,1.603
3348,2.634,0.626,10,6.92,8.68
3357,0.72,0.047,10,1.144,1.902
3361,-2.97,0.221,10,3.406,1.571
3362,-0.069,0.139,10,1.868,2.076
3393,-0.003,0.126,10,1.7,1.742
3401,-1.174,0.19,10,0.644,0.562
3403,0.197,0.106,10,0.506,0.475
3442,1.29,0.072,10,2.334,1.655
3457,0.411,0.086,10,0.302,0.323
3473,0.027,0.126,10,0.492,0.334
3544,2.976,0.775,10,0.959,0.878
3610,0.816,0.037,10,1.975,1.663
3617,0.928,0.03,10,1.342,1.842
3618,0.218,0.105,10,0.384,0.352
3635,1.771,0.33,10,17.242,41.109
3674,0.667,0.054,10,0.746,0.7
3677,-0.241,0.146,10,1.808,0.9
3708,2.261,0.495,10,1.98,1.787
3718,-2.852,0.226,10,1.834,0.951
3749,-0.217,0.145,10,3.547,3.828
3762,-1.117,0.188,10,0.673,0.613
377,-0.741,0.176,10,0.585,0.496
3784,-0.176,0.141,10,2.245,2.184
3786,-0.555,0.173,10,0.941,0.934
3801,-0.909,0.182,10,0.733,0.815
3834,1.848,0.412,10,20.427,22.545
3840,1.9,0.407,10,7.976,7.233
3874,3.281,0.916,10,3.52,6.115
3897,1.784,0.379,10,25.846,32.546
3922,-3.195,0.22,10,1.494,1.27
3946,1.872,0.176,20,2.754,1.642
3997,0.566,0.067,10,0.647,0.649
4085,0.605,0.059,10,1.383,1.217
4089,0.867,0.035,10,1.921,1.761
4163,2.114,0.468,10,0.67,0.731
4166,-0.98,0.186,10,1.889,1.608
4219,2.468,0.438,10,2.077,1.684
4225,-0.222,0.14,10,0.83,0.748
4264,-3.142,0.224,10,4.033,5.87
4287,1.774,0.328,10,1.576,1.563
4328,0.142,0.113,10,0.741,0.648
4338,2.721,0.606,10,1.373,1.159
4339,0.196,0.109,10,1.238,1.166
4340,-1.235,0.187,10,0.948,0.951
4344,3.329,0.883,10,2.983,2.195
4348,0.101,0.121,10,1.913,2.435
4361,-2.82,0.22,10,3.977,2.833
4374,2.127,0.465,10,3.368,3.191
4408,0.827,0.037,10,1.489,1.958
444,-0.722,0.162,10,1.242,1.795
4446,1.508,0.132,10,4.016,3.072
4459,0.232,0.105,10,0.785,0.883
4497,0.638,0.058,10,0.791,0.616
4526,0.429,0.086,10,5.901,7.234
4527,0.163,0.114,10,2.579,3.381
4537,-3.223,0.216,10,8.622,4.261
4553,0.689,0.052,10,1.418,1.173
458,-0.665,0.17,10,2.027,2.699
4600,-2.995,0.202,10,1.781,1.857
4604,-2.301,0.214,10,3.338,1.463
4619,2.811,0.741,10,3.937,6.172
4637,0.271,0.1,10,1.507,1.296
464,1.26,0.079,10,2.168,1.877
4646,1.483,0.131,10,1.261,0.953
4655,-2.619,0.217,10,0.741,0.613
4658,-0.631,0.169,10,0.368,0.261
4678,-0.777,0.175,10,1.761,1.377
4687,-1.27,0.199,10,0.405,0.546
4721,0.354,0.091,10,2.257,2.44
4731,0.921,0.027,10,0.407,0.426
4736,0.594,0.061,10,0.807,0.93
4764,0.208,0.106,10,3.505,2.578
4785,-2.318,0.213,10,1.972,1.368
4792,-1.84,0.208,10,1.501,1.321
4807,-0.241,0.152,10,0.544,0.59
4835,1.913,0.271,10,2.862,2.486
4840,-1.148,0.184,10,0.438,0.37
4852,1.671,0.173,10,1.344,0.863
4868,-3.213,0.222,10,4.294,2.613
